0
300;1000;90;270
400;1000;75,963;227,889
400;900;71,565;214,695
600;900;45;135
600;800;33,69;101,07
800;700;11,309;33,927
600;600;0;0
10
229,469;1000;100;300
400;1000;75,963;227,889
400;900;71,565;214,695
600;900;45;135
600;800;33,69;101,07
800;700;11,309;33,927
763,431;681,715;10;30
20
200;874,748;110;330
200;1000;104,036;312,108
400;1000;75,963;227,889
400;900;71,565;214,695
600;900;45;135
600;800;33,69;101,07
705,107;747,447;20;60
30
184,53;800;120;360
200;800;116,565;349,695
200;1000;104,036;312,108
400;1000;75,963;227,889
400;900;71,565;214,695
600;900;45;135
600;800;33,69;101,07
624,871;787,564;30;90
40
132,18;800;130;390
200;800;116,565;349,695
200;1000;104,036;312,108
400;1000;75,963;227,889
400;900;71,565;214,695
600;900;45;135
600;851,73;40;120
50
61,649;800;140;420
200;800;116,565;349,695
200;1000;104,036;312,108
400;1000;75,963;227,889
400;900;71,565;214,695
551,73;900;50;150
60
0;773,205;150;450
0;800;146,309;438,927
200;800;116,565;349,695
200;1000;104,036;312,108
400;1000;75,963;227,889
400;900;71,565;214,695
473,205;900;60;180
70
0;709,191;160;480
0;800;146,309;438,927
200;800;116,565;349,695
200;1000;104,036;312,108
400;1000;75,963;227,889
400;900;71,565;214,695
409,191;900;70;210
80
0;652,898;170;510
0;800;146,309;438,927
200;800;116,565;349,695
200;1000;104,036;312,108
370,531;1000;80;240
90
0;600;180;540
0;800;146,309;438,927
200;800;116,565;349,695
200;1000;104,036;312,108
300;1000;90;270
100
0;547,102;190;570
0;800;146,309;438,927
200;800;116,565;349,695
200;1000;104,036;312,108
229,469;1000;100;300
110
0;490,809;200;600
0;800;146,309;438,927
200;800;116,565;349,695
200;874,748;110;330
120
0;426,795;210;630
0;800;146,309;438,927
184,53;800;120;360
130
0;348,27;220;660
0;800;146,309;438,927
132,18;800;130;390
140
0;242,474;230;690
0;800;146,309;438,927
61,649;800;140;420
150
43,782;156,218;240;720
0;200;233,13;699,39
0;773,205;150;450
160
113,208;86,792;250;750
0;200;223,13;669,39
0;709,191;160;480
170
195,073;4,927;260;780
0;200;223,13;669,39
0;652,898;170;510
180
300;0;270;810
200;0;260,537;781,611
0;200;223,13;669,39
0;600;180;540
190
400;32,872;280;840
400;0;279,462;838,386
200;0;260,537;781,611
0;200;223,13;669,39
0;547,102;190;570
200
409,191;300;290;870
400;300;288,434;865,302
400;0;279,462;838,386
200;0;260,537;781,611
0;200;223,13;669,39
0;490,809;200;600
210
473,205;300;300;900
400;300;288,434;865,302
400;0;279,462;838,386
200;0;260,537;781,611
0;200;223,13;669,39
0;426,795;210;630
220
551,73;300;310;930
400;300;288,434;865,302
400;0;279,462;838,386
200;0;260,537;781,611
0;200;233,13;699,39
0;348,27;220;660
230
600;348,27;320;960
600;300;315;945
400;300;288,434;865,302
400;0;279,462;838,386
200;0;260,537;781,611
0;200;233,13;699,39
0;242,474;230;690
240
600;426,795;330;990
600;300;315;945
400;300;288,434;865,302
400;0;279,462;838,386
200;0;260,537;781,611
43,782;156,218;240;720
250
600;490,809;340;1020
600;300;315;945
400;300;288,434;865,302
400;0;279,462;838,386
200;0;260,537;781,611
113,208;86,792;250;750
260
600;547,102;350;1050
600;300;315;945
400;300;288,434;865,302
400;0;279,462;838,386
200;0;260,537;781,611
195,073;4,927;260;780
270
600;600;0;0
600;300;315;945
400;300;288,434;865,302
400;0;279,462;838,386
300;0;270;810
280
763,431;681,715;10;30
600;600;0;0
600;300;315;945
400;300;288,434;865,302
400;32,872;280;840
290
705,107;747,447;20;60
800;700;11,309;33,927
600;600;0;0
600;300;315;945
409,191;300;290;870
300
624,871;787,564;30;90
800;700;11,309;33,927
600;600;0;0
600;300;315;945
473,205;300;300;900
310
600;851,73;40;120
600;800;33,69;101,07
800;700;11,309;33,927
600;600;0;0
600;300;315;945
551,73;300;310;930
320
551,73;900;50;150
600;900;45;135
600;800;33,69;101,07
800;700;11,309;33,927
600;600;0;0
600;348,27;320;960
330
473,205;900;60;180
600;900;45;135
600;800;33,69;101,07
800;700;11,309;33,927
600;600;0;0
600;426,795;330;990
340
409,191;900;70;210
600;900;45;135
600;800;33,69;101,07
800;700;11,309;33,927
600;600;0;0
600;490,809;340;1020
350
370,531;1000;80;240
400;1000;75,963;227,889
400;900;71,565;214,695
600;900;45;135
600;800;33,69;101,07
800;700;11,309;33,927
600;600;0;0
600;547,102;350;1050
360
